given_name,family_name,gender,birthdate,language,street,postcode,city,country,latitude,longitude,phone_number
Michelle,Stolz,female,1982-11-28,de,Aurora-Walser-Weg 6,8286,Völkermarkt,Austria,48.676934,15.148107,(07699) 91099 308
Mathias,Schenk,male,1978-05-16,de,Kyra-Hütter-Platz 97,8146,Vils,Austria,48.496972,14.185625,02727 75230 215
Jennifer,Philipp,female,1942-06-02,de,Ariane-Unterweger-Straße 7/9,3872,Traun,Austria,47.435005,13.952857,03425/98870043
Bianca,Bacher,female,1952-03-07,de,Alara-Hofstetter-Weg 346,7509,Feldkirch,Austria,48.209211,14.885165,0512 25960 417
Karoline,Seiwald,female,1988-04-18,de,Spitzerplatz 4/3,3641,Rottenmann,Austria,47.318742,15.244227,02557/13474051
Sabine,Salzer,female,1979-09-20,de,Grabnerstr. 52,3478,Langenlois,Austria,48.715391,16.6333,+43 (0) 662 28802980
Liliane,Ott,female,1978-12-11,de,Michael-Scholz-Straße 55,2886,Steyr,Austria,48.418449,16.768836,+43 (0) 5252 95414782
Roman,Strohmeier,male,1942-01-17,de,Frederik-Strobl-Weg 35,9276,Oberwart,Austria,47.20994,16.008595,06434 82453 979
Florin,Reicher,male,1968-02-23,de,Pirkerstr. 036,3225,Melk,Austria,48.461897,13.525149,03474/88879075
Friedrich,Resch,male,1973-05-13,de,Franziska-Werner-Ring 0/1,8869,Deutschlandsberg,Austria,47.705738,13.971873,05648/96634055
Florin,Prenner,male,1959-05-01,de,Walderplatz 568,3517,Ried im Innkreis,Austria,48.722871,16.447928,+43 (0) 5647 72422392
Leonora,Stückler,female,2001-07-15,de,Fiona-Kocher-Weg 8/1,6004,Schärding,Austria,47.059831,11.275789,07224/90035393
Maksim,Scherr,male,1938-07-22,de,Laetitia-Kaiser-Ring 7,1806,Trofaiach,Austria,46.766567,15.223496,+43 3663 85041 464
Marie-Louise,Glaser,female,1948-07-25,de,Lana-Zotter-Straße 1/8,9307,Bad Vöslau,Austria,48.013363,13.437363,07376 00093 511
Manuel,Grasser,male,1989-11-11,de,Lammerplatz 46,5915,Scheibbs,Austria,48.400988,16.44654,03534 43528 063
Adriano,Weissenböck,male,1955-06-26,de,Zoe-Leibetseder-Gasse 880,8211,Mautern an der Donau,Austria,47.472093,14.826871,03318 02473 143
Gloria,Reisinger,female,2001-12-24,de,Dario-Buchner-Gasse 199,6040,Gmünd in Kärnten,Austria,47.017661,10.387464,+43 662 04418 008
Sabrina,Stummer,female,1988-01-03,de,Paulina-Dünser-Platz 014,5916,Scheibbs,Austria,46.585316,14.788562,+43 3317 57129 368
Jonathan,Gosch,male,1946-03-13,de,Feichtingerstraße 0/1,7102,Gloggnitz,Austria,48.673108,16.270346,+43 (0) 3566 19871048
Daniel,Lintner,male,2007-06-10,de,Eichingerstraße 8/0,8455,Zistersdorf,Austria,47.157879,13.335985,0732 41579 098
Louisa,Pacher,female,1975-02-26,de,Schwarzlgasse 2/9,2258,Radenthein,Austria,47.920673,16.496043,07728 28129 855
Stella,Mittermayr,female,2006-03-01,de,Hütterstraße 2,5061,Radstadt,Austria,47.355562,14.422141,03897/77247835
Alexia,Ertl,female,1969-04-15,de,Grillstraße 839,9837,Salzburg,Austria,47.083127,11.568974,03638/85760729
Louis,Parzer,male,1955-01-06,de,Ina-Draxler-Platz 288,1264,Althofen,Austria,46.563714,13.607243,+43 797257420025
Bruno,Markl,male,1975-09-03,de,Leonard-Zenz-Platz 018,6988,Amstetten,Austria,46.865433,15.844931,(02652) 04104 680
Annabella,Weiss,female,2003-01-22,de,Klausstraße 484,3683,Wolfsberg,Austria,48.478851,16.428575,07684 51993 118
Emilija,Felber,female,1991-06-25,de,Zoe-Weissenböck-Straße 11,4002,Freistadt,Austria,46.835412,14.867814,06203/86990880
Karolina,Sailer,female,1973-04-16,de,Häuslerring 6/1,9242,Bischofshofen,Austria,46.580117,13.463255,+43 561553736219
Viktor,Neumeister,male,1951-09-15,de,Philipp-Dietrich-Platz 660,4485,Graz,Austria,47.941208,13.752363,+43 265006945610
Bruno,Spitzer,male,1949-01-16,de,Miriam-Fellner-Platz 030,3798,Pöchlarn,Austria,47.524844,14.125143,+43 (0) 5393 65618258
Paula,Gasser,female,1941-10-14,de,Antonius-Schuler-Platz 48,1285,Traiskirchen,Austria,47.054133,14.851191,+43 2501 73669 620
Leona,Schinagl,female,1957-12-19,de,Beatrice-Steinberger-Gasse 835,5520,Innsbruck,Austria,47.899686,14.138476,+43 564751933947
Nicolas,Rieger,male,2005-08-26,de,Steven-Ott-Platz 057,2222,Wiener Neustadt,Austria,46.987565,10.029403,+43 (0) 3163 54082840
Katja,Weigl,female,1968-12-28,de,Joshua-Freudenthaler-Ring 9,2670,Landeck,Austria,47.341773,10.473354,(04213) 19880 013
Christian,Stelzer,male,1988-12-20,de,Filip-Braun-Weg 5,8614,Wörgl,Austria,47.395269,16.07423,07289 46221 091
Mert,Bader,male,1994-02-10,de,Lars-Altmann-Ring 1,3093,Eggenburg,Austria,47.810902,15.532975,+43 215756845623
Nicole,Hofer,female,1948-11-09,de,Martina-Schinnerl-Gasse 9/7,1465,Lienz,Austria,47.121348,16.065656,+43 (0) 732 74655032
Leander,Adam,male,1942-07-09,de,Trinklstraße 8/8,8945,Mureck,Austria,46.83711,15.04787,07993 86723 868
Elvira,Aichholzer,female,2000-02-01,de,Juliane-Ertl-Ring 2/8,9064,Oberpullendorf,Austria,48.302817,14.01601,+43 5328 63983 078
Xavier,Oswald,male,1992-04-04,de,Angela-Kössler-Straße 5,6070,Bad Vöslau,Austria,48.65558,14.63599,07653/48985386
Siena,Foidl,female,1951-01-01,de,Plattnerplatz 001,5301,Eferding,Austria,46.723501,13.686601,(03651) 12716 109
Noel,Sperl,male,1962-11-15,de,Helena-Ziegler-Gasse 2/8,8769,Bad Sankt Leonhard im Lavanttal,Austria,48.607821,13.571732,02890/90784271
Filip,Hauer,male,1952-04-10,de,Brandstättergasse 6,4166,Jennersdorf,Austria,47.353948,14.481768,+43 (0) 662 40073303
Lotte,Dorner,female,1956-04-24,de,Sturmstraße 4,3096,Radstadt,Austria,48.385898,16.783452,05540 40976 915
Severin,Fritz,male,1960-07-08,de,Oberhauserweg 5/8,3331,Sankt Veit an der Glan,Austria,48.729896,15.560512,05593/88397134
Bastian,Zangerl,male,1981-09-26,de,Biedermanngasse 8,4853,Weiz,Austria,47.505259,15.347631,+43 316 03920 853
Antonius,Peter,male,1971-02-01,de,Spieglweg 5/8,1750,Zeltweg,Austria,47.011759,15.919159,+43 777490152364
Paula,Oberhofer,female,1977-09-28,de,Schwarzlstraße 95,5044,Eisenerz,Austria,47.013036,16.014629,(05488) 82307 817
Oscar,Polzer,male,1938-10-01,de,Wohlmuthstr. 652,7372,Wien,Austria,47.158207,12.468344,+43 5424 67681 379
Emanuel,Eisl,male,1949-02-17,de,Horakring 8,3066,Mureck,Austria,47.473882,14.290888,+43 (0) 3510 96871023
Selin,Huber,female,1940-05-17,de,Schrammelgasse 697,5089,Hartberg,Austria,47.249655,14.943837,+43 (0) 3629 21331576
Rene,Dorfer,male,1978-07-07,de,Felderweg 3,6335,Berndorf,Austria,48.307556,13.518196,(03871) 53888 042
Linus,Heinrich,male,1935-09-23,de,Schmiedplatz 6,5842,Gallneukirchen,Austria,47.292734,14.461551,(07346) 87835 885
Elma,Pfeifer,female,1955-01-08,de,Payerstraße 6/9,2645,Wilhelmsburg,Austria,46.756748,14.455175,+43 2661 19432 036
Felicitas,Pacher,female,1964-07-05,de,Annabell-Hemetsberger-Platz 2/8,8007,Leibnitz,Austria,48.170578,13.283235,+43 51230605501
Karina,Bogner,female,1961-08-15,de,William-Schlosser-Platz 6/2,2129,Langenlois,Austria,47.202666,12.497851,+43 3409 61830 027
Lorenzo,Brandtner,male,1976-12-11,de,Clara-Kohler-Straße 765,3543,Altheim,Austria,48.01354,15.372923,+43 73282374293
Mathilda,Riedl,female,1976-07-30,de,Ernststraße 4,5106,Bischofshofen,Austria,48.507258,16.238553,+43 310714405392
Markus,Lipp,male,2000-02-09,de,Schalkstraße 5/1,8278,Neulengbach,Austria,47.171721,14.421151,04315 05999 067
Amelie,Pock,female,1945-10-07,de,Hummergasse 3,7970,Laa an der Thaya,Austria,47.241161,11.241413,+43 745096032564
Benedict,Fehringer,male,2007-06-28,de,Zeinerplatz 26,6531,Weitra,Austria,48.025566,16.859192,+43 (0) 6245 22840811
Lorenz,Hagen,male,1994-12-25,de,Franziska-Engel-Ring 3/1,4235,Rust,Austria,48.30473,13.797327,(02235) 13723 978
Nela,Schmuck,female,1956-12-07,de,Joststraße 66,7694,Pregarten,Austria,47.067947,13.187649,+43 (0) 2957 64787038
Lars,Lindinger,male,1988-01-14,de,Nikola-Niederl-Ring 89,5791,Ansfelden,Austria,48.675207,16.174648,(03145) 95961 196
Timo,Scharf,male,1984-07-18,de,Felberstraße 8,4725,Bad Vöslau,Austria,47.002392,15.317887,+43 363565063674
Jessica,Ofner,female,1960-10-16,de,Hubert-Helm-Straße 748,1493,Wien,Austria,47.081541,9.856592,+43 481276444199
Igor,Greiner,male,1939-01-01,de,Lily-Reinprecht-Weg 081,2136,Feldkirchen,Austria,48.029159,16.165394,03155 49011 406
Raffaela,Hosp,female,1959-06-20,de,Wandlstr. 764,9927,Oberpullendorf,Austria,47.86026,15.708987,+43 732 47871 330
Henry,Schiestl,male,1990-08-31,de,Sammerstraße 97,9270,Mautern an der Donau,Austria,47.669416,15.05716,0662 34071 795
Emilie,Wohlmuth,female,1954-12-01,de,Elena-Yilmaz-Platz 0,8606,Traiskirchen,Austria,48.621556,15.118068,+43 3565 51063 952
Rayana,Schartner,female,2006-04-21,de,Victor-Paul-Gasse 2/8,6160,Melk,Austria,47.79098,15.22334,+43 7404 34950 238
Max,Reichmann,male,2001-01-30,de,Magdalena-Kaspar-Straße 73,2951,Wiener Neustadt,Austria,47.140248,11.622844,+43 2244 27141 350
Laureen,Haidinger,female,1992-01-04,de,Erina-Oberleitner-Straße 96,5350,Wieselburg,Austria,47.430489,10.611154,02787 62292 185
Matheo,Fellinger,male,1941-04-12,de,Karolina-Linder-Platz 75,3758,Bregenz,Austria,46.599278,14.777899,07653/46036552
Yasmina,Bacher,female,1975-03-21,de,Katja-Seifert-Platz 97,1951,Dürnstein,Austria,47.646602,11.96148,0316/43515772
Matthias,Hauer,male,1943-12-02,de,Eberhardgasse 6,9505,Traismauer,Austria,47.527239,11.031165,+43 (0) 6139 95082332
Patrick,Gratzl,male,1991-01-12,de,Hausbergerweg 9,3182,Gloggnitz,Austria,48.427919,15.9052,+43 7963 68779 939
Carla,Plattner,female,1976-02-23,de,Kreuzerstr. 88,6265,Sankt Johann im Pongau,Austria,47.448613,11.719474,+43 (0) 732 33225393
Eva,Prohaska,female,1949-02-18,de,Theresa-Lindorfer-Weg 31,5221,Neusiedl am See,Austria,48.347197,13.516461,(02589) 99170 980
Moritz,Schimpl,male,1954-07-17,de,Lammerplatz 790,1360,Klagenfurt,Austria,47.14343,13.141543,02796 59174 763
Isabella,Enzinger,female,1935-11-13,de,Eric-Harrer-Platz 03,6609,Waidhofen an der Thaya,Austria,47.308193,9.697647,(01) 70812 646
Francesca,Raab,female,1942-03-23,de,Nino-Payer-Ring 467,6085,Poysdorf,Austria,48.623231,14.911111,+43 (0) 2744 03325628
Georg,Lehner,male,1962-04-25,de,Ortnerweg 469,2001,Wolfsberg,Austria,47.824415,16.835087,03665 44437 269
Isabella,Dangl,female,1967-10-12,de,Gabriel-Luttenberger-Straße 015,9457,Drosendorf-Zissersdorf 1,Austria,48.160428,13.918986,+43 312947609973
Oscar,Kaltenböck,male,2000-04-10,de,Ellie-Walter-Platz 9/1,3509,Vöcklabruck,Austria,46.785621,14.300397,(04347) 73042 661
Constanze,Mittermayr,female,1990-02-09,de,Valentina-Reiterer-Ring 16,3496,Innsbruck,Austria,47.110112,10.842882,+43 555573288954
Juna,Rieger,female,1939-12-21,de,Ortnerstraße 5/4,7724,Ried im Innkreis,Austria,47.283988,11.067358,02519 31348 266
Marina,Moser,female,1941-12-31,de,Stefangasse 32,5123,Frauenkirchen,Austria,47.076548,9.712685,06558/20379474
Christoph,Moritz,male,1937-09-12,de,Lukas-Sailer-Straße 3/3,8176,Saalfelden am Steinernen Meer,Austria,47.053765,14.139799,+43 3833 25602 091
Valentina,Felber,female,1964-01-27,de,Timon-Zechmeister-Weg 44,8669,Köflach,Austria,47.902231,14.500708,+43 (0) 2929 45335705
Mike,Ulrich,male,1999-06-02,de,Laetitia-Hosp-Gasse 582,2400,Leibnitz,Austria,47.09991,12.967584,+43 2726 83559 230
Marta,Hölzl,female,1965-08-21,de,Luise-Wiesinger-Gasse 686,8940,Rohrbach in Oberösterreich,Austria,46.730434,15.089185,04242 08750 414
Jakob,Schrenk,male,1999-10-24,de,Julijana-Hofstetter-Weg 8,2141,Laakirchen,Austria,47.24517,9.67255,(05621) 24515 486
Rachel,Koch,female,2007-11-27,de,Griesserring 4/7,1182,Braunau am Inn,Austria,46.6975,14.184098,(03861) 96315 828
Tina,Meusburger,female,1942-06-15,de,Burgerstr. 44,1262,Völkermarkt,Austria,47.997245,15.856911,05200 24562 021
Noel,Haberl,male,1969-10-31,de,Oliver-Frühwirth-Weg 300,3259,Berndorf,Austria,47.907349,15.451433,(05270) 02354 888
Carlo,Schröder,male,1985-12-22,de,Isa-Schneeberger-Straße 947,4125,Ternitz,Austria,47.548709,12.083893,+43 560758994893
Frida,Siegl,female,1938-02-06,de,Rechbergerring 266,7011,Eferding,Austria,47.562124,13.156334,02713/74587058
Eda,Sammer,female,1991-07-28,de,Miriam-Weiss-Straße 249,8462,Schwanenstadt,Austria,48.59247,14.246665,+43 256490031371
Xavier,Neumayr,male,1953-01-09,de,Hintereggergasse 9,2575,Altheim,Austria,47.834972,15.541219,+43 3897 94994 290
Michaela,Seiser,female,1950-05-04,de,Wimmerring 49,1070,Eggenburg,Austria,47.272148,13.92335,03131 99929 309
Jannik,Becker,male,1942-07-11,de,Hahnstr. 29,2986,Gmünd in Kärnten,Austria,47.067632,16.091936,(02948) 45768 576
Sena,Jungwirth,female,1944-09-21,de,Schnablplatz 5/4,2435,Pinkafeld,Austria,48.173956,13.753669,+43 799831035334
Adelina,Heger,female,1938-10-14,de,Baumannweg 0,3094,Groß-Enzersdorf,Austria,46.984868,10.843713,02827/19745189
Elsa,Schindler,female,1998-08-09,de,Praxmarerplatz 43,8517,Wieselburg,Austria,47.15212,14.738635,05461 89751 853
Lean,Kapeller,male,2006-11-25,de,Lugerplatz 0,4334,Wörgl,Austria,46.929951,13.354518,+43 3619 63864 165
Mark,Prenner,male,1992-03-13,de,Loidlstraße 149,9116,Drosendorf-Zissersdorf 1,Austria,47.705665,14.880312,02175 55437 544
Tim,Walch,male,1952-10-04,de,Geierplatz 0/4,2696,Mannersdorf am Leithagebirge,Austria,48.115852,14.65933,+43 (0) 7656 13346497
Elsa,Braun,female,1941-07-15,de,Philipp-Schiller-Platz 80,3121,Hallein,Austria,47.486195,11.686647,+43 339016029681
Kristian,Hofinger,male,2001-10-01,de,Meierplatz 218,2654,Bad Sankt Leonhard im Lavanttal,Austria,47.816067,13.02928,+43 (0) 316 14323700
Marie,Stockinger,female,1935-11-10,de,Franzplatz 3/2,3144,Weiz,Austria,47.614848,12.118442,06526/61872726
Cecilia,Stock,female,1943-07-19,de,Luca-Bachmann-Ring 8,9064,Imst,Austria,48.419041,13.498787,05359 36572 254
Adam,Feichtenschlager,male,1938-04-01,de,Jungwirthstr. 100,2392,Deutsch-Wagram,Austria,47.987804,15.181299,+43 482145194549
Liam,Harrer,male,2007-09-06,de,Denise-Haslinger-Gasse 01,9935,Vils,Austria,47.204208,15.72443,01 69438 327
Martha,Nagel,female,1948-06-24,de,Kröllgasse 776,8656,Allentsteig,Austria,47.147017,13.485821,05537 79050 282
Philipp,Fleck,male,1943-01-27,de,Kraftstraße 169,1623,Schwechat,Austria,48.250164,13.629994,(02570) 09083 552
Marko,Hacker,male,1989-11-02,de,Bischofring 636,4723,Feldkirchen,Austria,48.39454,14.263799,+43 4706 30544 746
Lorenzo,Mitterer,male,1973-05-26,de,Viola-Schuller-Platz 2/1,4903,Groß-Gerungs,Austria,47.92855,16.025103,+43 5445 57576 231
Rachel,Stecher,female,1981-10-19,de,Hinterbergerweg 14,2932,Hainfeld,Austria,47.320125,13.070181,02966/38280297
Erik,Rainer,male,1951-09-30,de,Lean-Harrer-Weg 17,7530,Liezen,Austria,47.93626,13.16792,0316/11089662
Theodor,Pointner,male,1973-09-15,de,Achleitnerring 4,6891,Mödling,Austria,48.45425,14.11792,02765/91553745
Nelly,Breuer,female,1986-02-19,de,Sena-Karl-Straße 3/9,4692,Rohrbach in Oberösterreich,Austria,48.36142,14.052017,+43 (0) 6561 38761494
Anton,Wagner,male,1983-11-12,de,Geislerstr. 30,6547,Heidenreichstein,Austria,47.121818,14.171143,+43 5250 59173 626
Valentin,Holzer,male,1943-12-07,de,Darko-Gattringer-Ring 3/0,7907,Innsbruck,Austria,46.884994,10.65785,(05250) 33683 388
Maurice,Sagmeister,male,1950-06-11,de,Sonja-Plank-Platz 71,7646,Baden,Austria,47.496928,10.653917,04711 53022 115
Annalena,Braun,female,1969-10-30,de,Schwarzlring 23,2777,Jennersdorf,Austria,47.035335,11.664326,0316/77667256
Pauline,Schwarzl,female,1962-08-26,de,Christian-Rainer-Ring 164,7397,Kapfenberg,Austria,47.615594,14.752163,(07208) 86097 137
Matteo,Luttenberger,male,1982-09-15,de,Romy-Sammer-Weg 1,6158,Gloggnitz,Austria,48.485887,16.409023,06412 47790 539
Leander,Hartl,male,1975-01-25,de,Rösslergasse 9/6,7780,Feldbach,Austria,47.23384,10.72434,+43 250184991894
Nadja,Scheer,female,1998-02-27,de,Bittnerstr. 7,3056,Hardegg,Austria,47.48126,11.760561,03808/62630994
Marissa,Schalk,female,1982-11-20,de,Dana-Leonhartsberger-Straße 2,7749,Pinkafeld,Austria,47.719268,13.233359,+43 (0) 662 47207537
Fabio,Springer,male,1990-09-20,de,Reichelstr. 58,2989,Knittelfeld,Austria,48.005854,14.988752,+43 (0) 6432 98889525
Damian,Hainzl,male,1955-10-13,de,Stephanie-Klinger-Ring 887,6279,Ebreichsdorf,Austria,47.931509,15.749406,+43 (0) 3496 58767023
Theo,Fröschl,male,1992-01-21,de,Karim-Kaiser-Straße 21,9435,Oberpullendorf,Austria,47.658534,15.151757,(02919) 28961 590
Marijana,Böhler,female,1974-04-12,de,Holzknechtring 21,2305,Schwaz,Austria,48.086864,13.869765,+43 648926487695
Nicole,Waltl,female,1993-01-31,de,Jankplatz 088,6573,Traiskirchen,Austria,47.268899,12.542457,+43 7553 04496 835
Vito,Stockhammer,male,1938-04-23,de,Sonja-Stückler-Gasse 05,8105,Rottenmann,Austria,47.2917,15.912708,04894 15264 513
Zoey,Mark,female,1982-05-09,de,Rosa-Nagele-Gasse 44,4040,Schärding,Austria,47.86606,15.581468,0316/37313699
Aylin,Kraft,female,1999-11-21,de,Baderstraße 874,5074,Fehring,Austria,47.089886,10.140391,+43 610206700973
Lean,Tiefenbacher,male,1957-12-07,de,Emilian-Eisner-Weg 437,4995,Sankt Valentin,Austria,47.846498,14.412223,01/18147481
Salma,Jung,female,1993-04-06,de,Kreuzerweg 6/1,5919,Weiz,Austria,47.731517,14.149535,(05372) 02920 810
Marina,Schmidl,female,1938-01-14,de,Stegerstraße 84,4764,Retz,Austria,46.962546,15.179668,07763/45222448
Manuel,Platzer,male,1950-10-27,de,Viktor-Leitgeb-Platz 762,7505,Fehring,Austria,47.574099,16.437234,04276/21576132
Leandra,Reindl,female,2005-01-24,de,Sarah-Vogel-Straße 2/6,8315,Laa an der Thaya,Austria,47.055727,14.046323,05500/71925171
Chris,Krall,male,1990-03-12,de,Schwarzlplatz 648,9090,Liezen,Austria,47.01767,12.539776,05564/48191327
Lukas,Thurner,male,1940-03-26,de,Tobias-Kuhn-Weg 70,6591,Neusiedl am See,Austria,46.738082,12.940689,+43 (0) 2241 44774916
Noah,Fichtinger,male,1970-05-04,de,Sabine-Hackl-Weg 246,9353,Eisenerz,Austria,48.300186,13.217635,+43 (0) 1 47493488
Mia,Lammer,female,2003-06-29,de,Wenzlplatz 876,7647,Berndorf,Austria,47.622777,13.021475,01/16435137
Jacob,Peeters,male,1963-03-07,nl,Beatrijsring 723,6749,Hogne,Belgium,51.240248,4.365138,+32(0)57-8971766
Kenneth,De Laet,male,1979-04-24,nl,Jelleweg 4,8953,Sint-Denijs-Boekel,Belgium,51.066472,3.519966,0334 224720
Eline,Sterckx,female,1992-04-19,nl,Glennpad 39,5681,Andenne,Belgium,51.062019,3.751767,000-7674188
Liesbet,Mees,female,1942-11-01,nl,Youssefbaan 1,7076,Landskouter,Belgium,50.079758,5.502905,+3222-8646694
Marie,De Wilde,female,1975-03-05,nl,Suzannehof 56,3735,Villers-le-Gambon,Belgium,50.657748,5.564569,+32903 891721
Nathalie,Van de Velde,female,1998-10-02,nl,Evelienpad 7,1874,Elst,Belgium,50.398259,5.665791,+32777 558694
Simonne,Kenis,female,1978-10-13,nl,Geertring 87,6088,Vreren,Belgium,50.603261,3.770889,0400-639403
Ann,Voet,female,1964-10-21,nl,Silviabaan 36,8615,Appels,Belgium,50.155514,4.172432,(0614)-230684
Lucas,Casier,male,1978-09-26,nl,Clairebaan 928,6196,Sint-Huibrechts-Lille,Belgium,51.194891,3.908768,+32924 111771
Kathleen,Vermeiren,female,1977-05-25,nl,Guyring 7,7596,Villers-l'Evêque,Belgium,50.978337,2.672584,+3269-4845835
Hilde,Depoorter,female,1958-01-26,nl,Lennweg 486,2753,Buzenol,Belgium,50.820717,3.920091,05 243 81 68
Roger,Luyten,male,1950-12-11,nl,Pieterring 34,5702,Bois-de-Villers,Belgium,50.677703,4.343462,02/ 007 45 42
Danny,Raeymaekers,male,1977-08-01,nl,Sanderstraat 0,8495,Schellebelle,Belgium,50.386117,5.698323,+32(0)104-322567
Maria,Temmerman,female,2002-11-21,nl,Linalaan 46,5739,Aubange,Belgium,51.049972,2.786179,071-1580146
Mariette,De Smedt,female,1977-09-02,nl,Fleurlei 179,1414,Keerbergen,Belgium,50.877168,3.74698,(0415)-921180
Tim,Jacobs,male,1983-07-26,nl,Jurgenpad 326,9543,Beerse,Belgium,50.268807,5.64423,+32141 979461
Arlette,Jonckheere,female,1968-12-10,nl,Ibrahimsingel 2,7661,Volkegem,Belgium,51.256031,4.797056,+3290-0465301
Emma,Laenen,female,1976-03-27,nl,Ginopad 40,6133,Waarloos,Belgium,50.373792,5.234106,+32(0)564-899863
Joren,Janssens,male,1983-01-24,nl,Tomdreef 8,3455,Houdremont,Belgium,50.898931,5.283665,(054) 3077288
James,Wynants,male,1991-07-19,nl,Stefaanpad 258,6059,Sart-Custinne,Belgium,50.879691,4.129932,+32(0)75 4906606
Jean,Engelen,male,1995-02-20,nl,Omarlei 01,2631,Ham-sur-Heure,Belgium,51.078413,2.681122,+32(0)280 742148
Nancy,Hermans,female,1992-10-25,nl,Emileweg 7,9096,Chairière,Belgium,50.367402,3.819486,069-6807341
Dirk,Dewulf,male,1936-06-13,nl,Georgesboulevard 7,8523,Remicourt,Belgium,50.630519,4.448657,+3292 1035913
Stefaan,Kenis,male,1940-01-23,nl,Stefanhof 14,4778,Boninne,Belgium,50.735155,5.686116,+3221 9849888
Steven,Sanders,male,2001-09-20,nl,Woutersteeg 83,4362,Nobressart,Belgium,50.664039,4.326617,+3239 8480122
Roger,De Wachter,male,2007-11-15,nl,Robertweg 5,1988,Bolland,Belgium,50.023607,4.193581,(024)-9917173
Sarah,Schoofs,female,2002-10-09,nl,Christelweg 6,4551,Pamel,Belgium,51.278346,4.942931,+32948-228807
An,Claes,female,1984-11-16,nl,Mikebaan 5,7336,Oudekapelle,Belgium,50.847803,5.796756,+3297-3965200
Stefaan,Beeckman,male,1956-11-13,nl,Juliesteeg 1,9184,Moorsele,Belgium,50.117273,4.177865,(0367)-767712
Nadine,Verhelst,female,1948-01-04,nl,Elinelei 979,3946,Hemelveerdegem,Belgium,49.736982,5.622347,07 278 84 08
Wendy,Desmet,female,1966-08-24,nl,Janhof 36,7664,Orchimont,Belgium,50.647803,4.597136,+3280 9432609
Nicole,Wuyts,female,1982-09-09,nl,Martinedreef 473,8276,Loenhout,Belgium,51.144355,2.593501,0020-545904
Esther,Vervaet,female,2008-01-25,nl,Alexhof 62,8100,Kaggevinne,Belgium,50.630521,3.513528,+3240-1364092
Anthony,François,male,1940-05-28,nl,Lisettedreef 203,4072,Meeuwen-Gruitrode,Belgium,49.977188,5.339663,(028)-4030261
An,Verhoeven,female,1976-05-17,nl,Ellysingel 83,5681,Borsbeke,Belgium,50.99949,3.426628,+32(0)602-886694
Jan,Simons,male,1982-06-04,nl,Kathleenboulevard 5,6176,Saint-Germain,Belgium,51.287092,4.802334,0369-843729
